Author,n,Sex,Group,Health,Age_grp,Age_M,Age_SD,Age_SEM,BWgt_M,BWgt_SD,BWgt_SEM,RT_status,RT_yr_min,RT_yr_M,RT_yr_SD,Equipment,Exercise,Upper_Lower,%1RM,Limb,Pace_method,CON_s,ECC_s,Sum_s,Contraction,ECC_CON_Reps_M,ECC_CON_Reps_SD,ECC_CON_Reps_SEM,ECC_CON_Reps_MIN,ECC_CON_Reps_MAX,ECC_CON_1RM_M,ECC_CON_1RM_SD,ECC_CON_1RM_ratio_M,ECC_CON_1RM_ratio_SD,ECC_1RM_M,ECC_1RM_SD,CON_1RM_M,CON_1RM_SD,ABT_Bwgt,ABT_Hgt
Aguiar.EJAP.2015,9,M,G1,Healthy,Adult 18-59,20,1.8,,75,8.8,,Untrained,,,,Machine,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,14.91,2.46,,,,106.4,2.6,1.419,,,,,,NO,NO
Aguiar.EJAP.2015,9,M,G2,Healthy,Adult 18-59,20.9,2,,73.7,9.4,,Untrained,,,,Machine,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,15.09,2.81,,,,107.4,3.9,1.457,,,,,,NO,NO
Aguiar.EJAP.2015,9,M,G3,Healthy,Adult 18-59,21,1.9,,69.8,11.2,,Untrained,,,,Machine,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,15.44,3.86,,,,106.6,4.5,1.527,,,,,,NO,NO
Aguiar.JSportsMedPhysFitness.2016,9,M,G1,Healthy,Adult 18-59,20,1.8,,75,8.8,,Untrained,,,,Machine,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,14.86,2.57,,,,106.4,2.6,1.419,,,,,,NO,NO
Aguiar.JSportsMedPhysFitness.2016,9,M,G2,Healthy,Adult 18-59,21.1,1.8,,73.3,6.8,,Untrained,,,,Machine,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,15.43,2.57,,,,104.5,7.1,1.426,,,,,,NO,NO
Aguiar.JSportsMedPhysFitness.2016,9,M,G3,Healthy,Adult 18-59,21.5,2.6,,76.3,5.1,,Untrained,,,,Machine,Knee extension,Lower,60,Bilateral,,,,,ECC-CON,15.71,4,,,,107.8,5.4,1.413,,,,,,NO,NO
Akima.EJAP.2013,9,M,G1,Healthy,Adult 18-59,24.7,,7.7,66.3,,10.7,,,,,Machine,Knee extension,Lower,50,,Metronome,3,3,6,ECC-CON,15.3,2.1,,,,,,,,,,,,NO,NO
Akima.EJAP.2013,9,M,G1,Healthy,Adult 18-59,24.7,,7.7,66.3,,10.7,,,,,Machine,Knee extension,Lower,70,,Metronome,3,3,6,ECC-CON,9.1,0.3,,,,,,,,,,,,NO,NO
Alves.JSCR.2021,14,M,G1,Healthy,Adult 18-59,25,3.5,,89.9,16.3,,Trained,,5,4,Barbell,Bench press,Upper,75,Bilateral,Metronome,2,1,3,ECC-CON,10.46,0.75,,,,99.4,20.2,1.14,0.1,,,,,YES,YES
Anders.JFunctMorpholKinesiol.2020,10,M,G1,Healthy,Adult 18-59,22,2.3,,76.3,24.2,,Trained,,,,Barbell,Bench press,Upper,70,Bilateral,,,,,ECC-CON,13.8,1.5,,,,104.8,22.7,1.374,,,,,,YES,YES
Anderson.ResQExercSport.1982,15,M,G1,Healthy,Adult 18-59,20.65,1.7,,75.08,3.91,,Untrained,,,,,Bench press,Upper,40,Bilateral,,,,1.5,ECC-CON,40.93,5.16,,,,67.73,4.3,0.902,,,,,,NO,NO
Anderson.ResQExercSport.1982,16,M,G2,Healthy,Adult 18-59,20.65,1.7,,75.08,3.91,,Untrained,,,,,Bench press,Upper,40,Bilateral,,,,1.5,ECC-CON,39.25,7.3,,,,65.96,5.18,0.879,,,,,,NO,NO
Anderson.ResQExercSport.1982,12,M,G3,Healthy,Adult 18-59,20.65,1.7,,75.08,3.91,,Untrained,,,,,Bench press,Upper,40,Bilateral,,,,1.5,ECC-CON,37.5,6.02,,,,65.44,5.03,0.872,,,,,,NO,NO
Andrade.ResQExercSport.2022,16,M,G1,Healthy,Adult 18-59,25.7,6.2,,77.9,12,,Trained,0.5,,,,Bench press,Upper,80,Bilateral,Metronome,1,1,2,ECC-CON,7.9,1.7,,,,88.5,20.3,1.1,0.2,,,,,NO,NO
Andrade.ResQExercSport.2022,16,M,G1,Healthy,Adult 18-59,25.7,6.2,,77.9,12,,Trained,0.5,,,,Half squat,Lower,80,Bilateral,Metronome,1,1,2,ECC-CON,10.1,2.5,,,,95.6,17.2,1.2,0.2,,,,,NO,NO
Arazi.JMusculoskRes.2014,8,F,G1,Healthy,Adult 18-59,20.75,0.7,,53.75,5.3,,Untrained,,,,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,49.7,13.6,,,,120.2,18.3,2.236,,,,,,NO,NO
Arazi.JMusculoskRes.2014,7,F,G2,Healthy,Adult 18-59,20.71,1.1,,62.28,8,,Untrained,,,,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,38.4,11.7,,,,122.8,15.7,1.972,,,,,,NO,NO
Arazi.JMusculoskRes.2014,7,F,G3,Healthy,Adult 18-59,20.71,0.7,,57.28,6.2,,Untrained,,,,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,55.7,26.5,,,,120.2,11.4,2.098,,,,,,NO,NO
Arazi.JMusculoskRes.2014,7,F,G4,Healthy,Adult 18-59,20.57,0.5,,61.28,10,,Untrained,,,,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,50.4,14.7,,,,120.4,27.7,1.965,,,,,,NO,NO
Arazi.PeerJ.2021,12,M,G1,Healthy,Adult 18-59,19.8,1.8,,64.2,5.7,,Trained,,2.5,0.5,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,21.1,3.6,,,,63.5,6.4,0.989,,,,,,NO,NO
Arazi.PeerJ.2021,13,M,G2,Healthy,Adult 18-59,19.9,1.6,,70.6,8.2,,Trained,,2.8,0.7,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,21.5,2.6,,,,64.6,5.3,0.915,,,,,,NO,NO
Arazi.PeerJ.2021,10,M,G3,Healthy,Adult 18-59,20.4,1.4,,69.1,8,,Trained,,2.3,0.4,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,19.4,4.4,,,,64.4,7.5,0.932,,,,,,NO,NO
Arazi.PeerJ.2021,12,M,G1,Healthy,Adult 18-59,19.8,1.8,,64.2,5.7,,Trained,,2.5,0.5,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,20.7,7,,,,201.1,36.6,3.132,,,,,,NO,NO
Arazi.PeerJ.2021,13,M,G2,Healthy,Adult 18-59,19.9,1.6,,70.6,8.2,,Trained,,2.8,0.7,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,19.4,48,,,,203.4,51.7,2.881,,,,,,NO,NO
Arazi.PeerJ.2021,10,M,G3,Healthy,Adult 18-59,20.4,1.4,,69.1,8,,Trained,,2.3,0.4,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,20.2,3.3,,,,202.8,45.2,2.935,,,,,,NO,NO
Assuncao.PLOSone.2016,17,Mixed,G1,Healthy,Youth <18,13.8,0.9,,54.7,18.8,,Untrained,,0,0,Barbell,Bench press,Upper,70,Bilateral,Metronome,1.5,1.5,3,ECC-CON,11.4,4.5,,,,31.4,7.1,0.574,,,,,,YES,YES
Assuncao.PLOSone.2016,16,Mixed,G2,Healthy,Youth <18,13.7,0.7,,58.6,10.2,,Untrained,,0,0,Barbell,Bench press,Upper,70,Bilateral,Metronome,1.5,1.5,3,ECC-CON,10.9,2.3,,,,30.9,7.1,0.527,,,,,,YES,YES
Assuncao.PLOSone.2016,12,Mixed,G3,Healthy,Youth <18,13.7,0.7,,57.1,11.2,,Untrained,,0,0,Barbell,Bench press,Upper,70,Bilateral,Metronome,1.5,1.5,3,ECC-CON,10.6,4.5,,,,29.3,5.5,0.513,,,,,,YES,YES
Assuncao.PLOSone.2016,17,Mixed,G1,Healthy,Youth <18,13.8,0.9,,54.7,18.8,,Untrained,,0,0,Smith machine,Squat,Lower,70,Bilateral,Metronome,1.5,1.5,3,ECC-CON,10.3,4,,,,61.2,13.1,1.119,,,,,,YES,YES
Assuncao.PLOSone.2016,16,Mixed,G2,Healthy,Youth <18,13.7,0.7,,58.6,10.2,,Untrained,,0,0,Smith machine,Squat,Lower,70,Bilateral,Metronome,1.5,1.5,3,ECC-CON,11,5.9,,,,60.9,10.6,1.039,,,,,,YES,YES
Assuncao.PLOSone.2016,12,Mixed,G3,Healthy,Youth <18,13.7,0.7,,57.1,11.2,,Untrained,,0,0,Smith machine,Squat,Lower,70,Bilateral,Metronome,1.5,1.5,3,ECC-CON,8.1,1.2,,,,62.7,10.7,1.098,,,,,,YES,YES
Astorino.EJAP.2008,22,M,G1,Healthy,Adult 18-59,23.4,3.6,,82.5,13.6,,Trained,,6,2.8,Barbell,Bench press,Upper,60,Bilateral,,,,,ECC-CON,18.4,4,,,,114.9,22.8,1.393,,,,,,NO,NO
Astorino.EJAP.2008,22,M,G1,Healthy,Adult 18-59,23.4,3.6,,82.5,13.6,,Trained,,6,2.8,Machine,Leg press,Lower,60,Bilateral,,,,,ECC-CON,22.5,11,,,,394.8,22.5,4.785,,,,,,NO,NO
Aube.JSCR.2022,13,M,G1,Healthy,Adult 18-59,21.5,2.3,,79.3,14.8,,Trained,3,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,14.6,5.7,,,,,,2.03,0.22,,,,,NO,NO
Aube.JSCR.2022,12,M,G2,Healthy,Adult 18-59,20.7,2.4,,77,9.4,,Trained,3,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,16.4,7.9,,,,,,2.04,0.23,,,,,NO,NO
Aube.JSCR.2022,10,M,G3,Healthy,Adult 18-59,23.5,5.7,,79.8,10,,Trained,3,,,,Squat,Lower,70,Bilateral,,,,,ECC-CON,17.2,4.2,,,,,,2.21,0.29,,,,,NO,NO
Azuma.FrontPhysiol.2021,13,F,G1,Healthy,Adult 18-59,20.1,2.9,,56.9,7.2,,Untrained,,,,Other free weights,Biceps curl,Upper,60,Bilateral,Metronome,1,2,3,ECC-CON,27.82,5.29,,,,6.4,1.4,0.112,,,,,,NO,NO
Babault.JIntSocSportsNutr.2014,24,M,G1,Healthy,Adult 18-59,22,3.9,,,,,Untrained,,,,Machine,Knee extension,Lower,70,Bilateral,,,,,ECC-CON,16.5,4,,,,87.7,16.7,,,,,,,NO,NO
Babault.JIntSocSportsNutr.2014,22,M,G2,Healthy,Adult 18-59,22.2,3.9,,,,,Untrained,,,,Machine,Knee extension,Lower,70,Bilateral,,,,,ECC-CON,16.8,3.4,,,,86.6,17.7,,,,,,,NO,NO
