"Repetitions","RIR_0","RIR_1","RIR_2","RIR_3","RIR_4","RIR_5","RIR_6","RIR_7","RIR_8"
1,100,96,93,90,87.5,87.4,86.2,84.1,81.9
2,96,93,90,87.5,87.4,86.2,84.1,81.9,79.8
3,93,90,87.5,87.4,86.2,84.1,81.9,79.8,77.7
4,90,87.5,87.4,86.2,84.1,81.9,79.8,77.7,75.7
5,87.5,87.4,86.2,84.1,81.9,79.8,77.7,75.7,73.6
6,87.4,86.2,84.1,81.9,79.8,77.7,75.7,73.6,71.5
7,86.2,84.1,81.9,79.8,77.7,75.7,73.6,71.5,69.4
8,84.1,81.9,79.8,77.7,75.7,73.6,71.5,69.4,67.3
9,81.9,79.8,77.7,75.7,73.6,71.5,69.4,67.3,65.2
10,79.8,77.7,75.7,73.6,71.5,69.4,67.3,65.2,63.2
11,77.7,75.7,73.6,71.5,69.4,67.3,65.2,63.2,61.2
12,75.7,73.6,71.5,69.4,67.3,65.2,63.2,61.2,59.3
13,73.6,71.5,69.4,67.3,65.2,63.2,61.2,59.3,57.5
14,71.5,69.4,67.3,65.2,63.2,61.2,59.3,57.5,55.8
15,69.4,67.3,65.2,63.2,61.2,59.3,57.5,55.8,54.1
16,67.3,65.2,63.2,61.2,59.3,57.5,55.8,54.1,52.6
17,65.2,63.2,61.2,59.3,57.5,55.8,54.1,52.6,51.1
18,63.2,61.2,59.3,57.5,55.8,54.1,52.6,51.1,49.7
19,61.2,59.3,57.5,55.8,54.1,52.6,51.1,49.7,48.4
20,59.3,57.5,55.8,54.1,52.6,51.1,49.7,48.4,47.2
21,57.5,55.8,54.1,52.6,51.1,49.7,48.4,47.2,46
22,55.8,54.1,52.6,51.1,49.7,48.4,47.2,46,44.9
23,54.1,52.6,51.1,49.7,48.4,47.2,46,44.9,43.9
24,52.6,51.1,49.7,48.4,47.2,46,44.9,43.9,42.9
25,51.1,49.7,48.4,47.2,46,44.9,43.9,42.9,41.9
26,49.7,48.4,47.2,46,44.9,43.9,42.9,41.9,41
27,48.4,47.2,46,44.9,43.9,42.9,41.9,41,40.1
28,47.2,46,44.9,43.9,42.9,41.9,41,40.1,39.3
29,46,44.9,43.9,42.9,41.9,41,40.1,39.3,38.5
30,44.9,43.9,42.9,41.9,41,40.1,39.3,38.5,37.7
