"Repetitions","RIR_0","RIR_1","RIR_2","RIR_3","RIR_4","RIR_5","RIR_6","RIR_7","RIR_8"
1,100,97,94.5,92,89.5,89.4,87.1,84.8,82.7
2,97,94.5,92,89.5,89.4,87.1,84.8,82.7,80.6
3,94.5,92,89.5,89.4,87.1,84.8,82.7,80.6,78.6
4,92,89.5,89.4,87.1,84.8,82.7,80.6,78.6,76.5
5,89.5,89.4,87.1,84.8,82.7,80.6,78.6,76.5,74.4
6,89.4,87.1,84.8,82.7,80.6,78.6,76.5,74.4,72.4
7,87.1,84.8,82.7,80.6,78.6,76.5,74.4,72.4,70.3
8,84.8,82.7,80.6,78.6,76.5,74.4,72.4,70.3,68.3
9,82.7,80.6,78.6,76.5,74.4,72.4,70.3,68.3,66.3
10,80.6,78.6,76.5,74.4,72.4,70.3,68.3,66.3,64.3
11,78.6,76.5,74.4,72.4,70.3,68.3,66.3,64.3,62.4
12,76.5,74.4,72.4,70.3,68.3,66.3,64.3,62.4,60.6
13,74.4,72.4,70.3,68.3,66.3,64.3,62.4,60.6,58.8
14,72.4,70.3,68.3,66.3,64.3,62.4,60.6,58.8,57.1
15,70.3,68.3,66.3,64.3,62.4,60.6,58.8,57.1,55.5
16,68.3,66.3,64.3,62.4,60.6,58.8,57.1,55.5,54
17,66.3,64.3,62.4,60.6,58.8,57.1,55.5,54,52.5
18,64.3,62.4,60.6,58.8,57.1,55.5,54,52.5,51.2
19,62.4,60.6,58.8,57.1,55.5,54,52.5,51.2,49.9
20,60.6,58.8,57.1,55.5,54,52.5,51.2,49.9,48.7
21,58.8,57.1,55.5,54,52.5,51.2,49.9,48.7,47.6
22,57.1,55.5,54,52.5,51.2,49.9,48.7,47.6,46.5
23,55.5,54,52.5,51.2,49.9,48.7,47.6,46.5,45.5
24,54,52.5,51.2,49.9,48.7,47.6,46.5,45.5,44.5
25,52.5,51.2,49.9,48.7,47.6,46.5,45.5,44.5,43.6
26,51.2,49.9,48.7,47.6,46.5,45.5,44.5,43.6,42.8
27,49.9,48.7,47.6,46.5,45.5,44.5,43.6,42.8,41.9
28,48.7,47.6,46.5,45.5,44.5,43.6,42.8,41.9,41.1
29,47.6,46.5,45.5,44.5,43.6,42.8,41.9,41.1,40.4
30,46.5,45.5,44.5,43.6,42.8,41.9,41.1,40.4,39.7
